2999,17-04-2017,beef
2614,25-06-2017,whole milk
4064,05-06-2017,frankfurter
3567,04-10-2017,tropical fruit
2587,07-05-2017,canned beer
3783,17-06-2017,finished products
1923,14-02-2017,beverages
4835,19-02-2017,hamburger meat
1514,24-08-2017,whole milk
3154,22-06-2017,finished products
1313,25-12-2017,other vegetables
2794,18-07-2017,ham
2359,09-04-2017,other vegetables
2238,09-03-2017,curd
3795,17-01-2017,bottled beer
3724,26-11-2017,curd
1152,05-03-2017,whole milk
4559,16-03-2017,whole milk
3922,27-02-2017,dessert
1709,22-04-2017,sausage
2219,17-04-2017,other vegetables
2206,17-10-2017,ham
1752,06-04-2017,other vegetables
3942,10-11-2017,other vegetables
3296,17-08-2017,soda
2257,05-02-2017,herbs
4313,28-07-2017,frankfurter
2001,21-08-2017,rolls/buns
2449,08-07-2017,curd
4914,12-04-2017,frankfurter
2764,24-07-2017,other vegetables
4187,09-05-2017,dog food
1392,20-04-2017,specialty bar
3427,28-04-2017,curd
1411,20-02-2017,frankfurter
3390,14-11-2017,soda
4787,01-08-2017,beef
3310,17-01-2017,canned beer
1782,10-10-2017,pork
3375,26-04-2017,frankfurter
2760,07-01-2017,sausage
4249,13-09-2017,canned beer
2904,06-06-2017,specialty chocolate
4090,26-02-2017,curd
3060,05-07-2017,canned beer
3768,07-10-2017,whole milk
1232,21-01-2017,rolls/buns
1360,23-10-2017,pork
1107,01-10-2017,citrus fruit
2865,04-11-2017,pot plants
2958,14-06-2017,rolls/buns
2448,12-07-2017,butter
1222,24-09-2017,condensed milk
2943,20-06-2017,sausage
2270,11-08-2017,whole milk
3812,21-07-2017,sausage
1482,22-11-2017,beverages
4720,22-02-2017,beverages
1344,04-09-2017,bottled water
2397,04-10-2017,newspapers
4182,12-05-2017,cleaner
4487,10-07-2017,sausage
3467,24-12-2017,newspapers
2443,15-11-2017,sausage
2749,27-01-2017,misc. beverages
4389,13-04-2017,white wine
1674,04-12-2017,sausage
4262,16-10-2017,meat
2082,07-04-2017,frankfurter
4494,06-01-2017,ice cream
2460,28-09-2017,canned beer
4509,29-11-2017,tropical fruit
2267,03-07-2017,meat
4891,05-09-2017,whole milk
3962,20-09-2017,sausage
4964,18-07-2017,frankfurter
2914,30-11-2017,meat
2808,05-05-2017,root vegetables
1085,15-08-2017,root vegetables
3808,18-08-2017,whole milk
4149,07-01-2017,citrus fruit
2331,05-06-2017,citrus fruit
4475,03-04-2017,other vegetables
2761,25-04-2017,citrus fruit
2620,14-12-2017,sausage
3206,13-10-2017,frankfurter
1226,13-04-2017,hard cheese
1395,07-03-2017,cream cheese 
2465,07-06-2017,turkey
3572,09-07-2017,pork
4387,08-05-2017,whole milk
1555,27-03-2017,rolls/buns
1181,16-11-2017,sausage
2814,11-05-2017,ice cream
2794,16-09-2017,liquor
2912,28-01-2017,pip fruit
4667,12-01-2017,root vegetables
2235,25-10-2017,soda
2353,02-05-2017,soda
3449,08-03-2017,sausage
1058,10-11-2017,root vegetables
1027,17-05-2017,pork
3302,22-05-2017,pork
2229,30-05-2017,chocolate
